RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NHO;;NOKP-204-DSB H2;NOKP-204-DSB H2
NVBS;NHO-DGF;;
NHAN;NHO-DGF;;
NHOS;NHO-DGF;;
NSHO;NHO-DGF;;
N104A;NHO-DGF;;
N103A;NHO-DGF;;
N 172;NHO-DGF;;
N 171;NHO-DGF;;
NFZ;NHO-DGF;;
N101C;NHO-DGF;;
N102C;NHO-DGF;;
YLMGS;NHO-DGF;;
DQGF;NHO-DGF;;
DGF;NHO-2-DRTH;;
DGO;DGF-DRTH;;
DRTH;DGF-2-DSB;;
DSB;NHO-1-DP;;
DMEH;DSB-5-UWE;;
UQBG;DMEH-UWE;;
UBGN;DMEH-UWE;;
UQP;DMEH-UWE;;
UP;DMEH-UWE;;
UQPW;DMEH-UWE;;
UPW;DMEH-1-UWE;;
UZU;DMEH-1-UWE;;
UTB;DMEH-UWE;;
UHOL;DMEH-UWE;;
USP;DMEH-UWE;;
ULHO;DMEH-1-UWE;;
UWEA;DMEH-UWE;;
UWEM;UMEH-UWE;;
UWE;DMEH-2-UGS;;
UWOL;UWE-UGS;;
UGZ;UWE-UGS;;
UGDE;UWE-UG;;
UGS;UGDE-UG;;
UG;UGDE-8-LZ H408 6;;
UG  T;UG-325-LZ;;
UGLB;UG-LZ;;
UBKZ;UG-1-LZ;;
UCA;UG-LZ;;
UKS;UG-3-LZ;;
UKSO;UG-LZ;;
LQWZ;UG-LZ;;
LWZE;UG-1-LZ;;
LHY;UG-2-LZ;;
LZ;UG-8-LTEU;;
LZ  G;LZ-LTEU;;
LT;LZ-2-LTEU;;
LLUC;LZ-LTEU;;
LDB;LZ-UTEU;;
UTEU;LZ-2-UW;;
UPZ;LZ-1-UW;;
ULF;LZ-UW;;
UWWE;LZ-UW;;
UW;UPZ-504-LGC;;
LB915;UW-LGC;;
LB906;UW-LGC;;
LB905;UW-LGC;;
LA806;UW-LGC;;
LB805;UW-LGC;;
LA706;UW-LGC;;
LGC;UW-405-LH;;
L 244;LGC-LMG;;
L 245;LGC-LMG;;
LLWS;LGC-LMG;;
LLWN;LGC-LMG;;
LMG G;LGC-11-LMG(6810);;
LMG;LMGG(6810)-1-LHAD;;
LSP;LMG-1-LHAD;;
LHAD;LMG-2-LH(6340) H2;;
L9316;LHAD-LHAT;;
L9315;LHAD-LHAT;;
LHAT;LHAD-LH;;
LH;LMG-2o-LK;;
LHNWO;LH(6403)-LK;;
LHG M;LH-LK;;
LZBR;LH-LK;;
LBI;LH-LK;;
LNM;LH-2-LK;;
LSTF;LH-2-LK;;
LWG;LH-LK;;
LAF;LH-LK;;
LK  R;LH-8-LK;;
LK  C;LH-8-LK;;
LK  D;LH-8-LK;;
LK;LKD(6403)-8/8-LCBO;;
LOSM;LK-LCBO;;
LWU;LK-LCBO;;
LSAD;LK-2-LCBO;;
L0340;LSAD-LCBO;;
L0341;LSAD-LCBO;;
LCBO;LK-2102-LSEE;;
LSEE;LCBO-LSB;;
L0130;LSEE-LSB;;
L0132;LSEE-LSB;;
LGND;LSEE-LSB;;
L0131;LSEE-LSB;;
L0129;LSEE-LSB;;
L5527;LSEE-LSB;;
L5525;LSEE-LSB;;
LSBF;LSEE-LSB;;
L5526;LSEE-LSB;;
L5528;LSEE-LSB;;
LSB;LSEE-4-LMSO(6406);;
LSB G;LSB(6406)-4-LMSO(6406) 12;;
L5517;LSB-LMSO;;
L5512;LSB-LMSO;;
LMSO;LSB(6406)-4-LMB(6403);;
LMSA;LMSO-LMB;;
L5118;LMSO-LMB;;
L5116;LMSO-LMB;;
L5115;LMSO-LMB;;
L5117;LMSO-LMB;;
LMB F;LMSO-LMB(6403);;
LMTW;LMSO-LMB;;
LMB;LSB(6403)-1-LM(6403) ab 7/2013;;
LM  S;LSB-2-LM;;
LM;LSB-2-LGLB(6402);;
LMN;LM(6402)-1-LGLB;;
L3317;LM-LGLB;;
L3315;LM-LGLB;;
L3314;LM-LGLB;;
L3316;LM-LGLB;;
LMGE;LM-LGLB;;
LMEU;LM-LGLB;;
L7013;LM-LGLB;;
L7011;LM-LGLB;;
L7012;LM-LGLB;;
L7014;LM-LGLB;;
LMRH;LM-LGLB;;
L7016;LM-LGLB;;
L7018;LM-LGLB;;
LGLB;LM-1-LS;;
LBAS;LGLB-LWLS;;
LWLS;LGLB-2-LS;;
LZIO;LGLB-LS;;
LZI;LGLB-1-LS;;
LZI Z;LGLB-1-LS;;
LANG;LGLB-2-LS;;
LMW;LGLB-LS;;
LTH;LGLB-1-LS;;
L7891;LGLB-LS;;
L7893;LGLB-LS;;
LDK;LGLB-LS;;
L2592;LGLB-LS;;
L2594;LGLB-LS;;
LS;LM-210/5-LSG(605);;
LS  G;LS-605/705-LSW;;
L901S;LS-LSW;;
L902S;LS-LSW;;
LSFD;LS-LSW;;
LKD H;LS-LSW;;
LKD;LS-22-LSW;;
LHWU;LS-33-LSW;;
L903S;LS-LSW;;
LMF;LS-LSW;;
L904S;LS-LSW;;
LBRP;LS-42-LSW;;
L905S;LS-LSW;;
L906S;LS-LSW;;
LFL;LS-LSW;;
LRAD;LS-0511-LSW;;
L907S;LS-LSW;;
LPRZ;LS-LSW;;
L908S;LS-LSW;;
LSW G;LS-133-LSW;;
LSW;;LSWG-13-HU;LSWG-13-HU
